danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,time_signature,duration_ms,explicit,track.name,track.popularity,track.album.name,key_name,mode_name,key_mode,billboard_year,billboard_rank,ARTIST,Hit
0.554,0.833,-6.667,0.0347,0.000646,0.0025,0.0737,0.773,142.673,7HKxTNVlkHsfMLhigmhC0I,4,212226,FALSE,Call Me,65,Call Me,D,minor,D minor,1980,1,Blondie,1
0.704,0.319,-18.099,0.0395,0.0655,0.00235,0.151,0.69,104.516,09BINxFxiDeywjfC39nRFi,4,238506,FALSE,"Another Brick in the Wall, Pt. 2",30,A Collection Of Great Dance Songs,C,major,C major,1980,2,Pink Floyd,1
0.697,0.611,-5.997,0.0265,0.0178,8.92E-05,0.11,0.603,103.77,56BSwBKWHYldQOgYLHiehs,4,271666,FALSE,Magic,46,Xanadu,D,major,D major,1980,3,Olivia Newton-John,1
0.8,0.699,-7.181,0.0391,0.0586,0.000161,0.138,0.842,114.526,36eWbpGbM3DxpErvZImHgD,4,203066,FALSE,Rock with You - Single Version,52,The Essential Michael Jackson,C#,major,C# major,1980,4,Michael Jackson,1
0.728,0.524,-8.227,0.0255,0.563,0.000131,0.0913,0.51,90.262,0m4jVVZrsv0bLkAr1uM6UG,4,256666,FALSE,Do That To Me One More Time,64,Make Your Move,G,major,G major,1980,5,Captain & Tennille,1
0.599,0.762,-6.887,0.0423,0.714,4.43E-06,0.35,0.715,76.961,35ItUJlMtjOQW3SSiTCrrw,4,163373,FALSE,Crazy Little Thing Called Love - Remastered 2011,66,The Game (Deluxe Remastered Version),C,major,C major,1980,6,Queen,1
0.578,0.751,-7.803,0.0366,0.147,0.000499,0.627,0.684,137.023,0Ix1999mTT1A3TF6Bywgv5,4,248933,FALSE,Coming Up - Live At Glasgow / 1979 / Remastered 2011,26,McCartney II (Special Edition),A,major,A major,1980,7,Paul McCartney,1
0.895,0.453,-13.987,0.0756,0.00196,0.374,0.0982,0.257,122.151,0KQh7AuuZvpTKWhcJa8Pbr,4,239226,FALSE,Funkytown,53,Casablanca Records Greatest Hits,C,major,C major,1980,8,Lipps Inc,1
0.752,0.684,-7.599,0.15,0.0994,0,0.0897,0.539,141.075,64UioB4Nmwgn2f4cbIpAkl,4,176440,FALSE,It's Still Rock and Roll to Me,66,Glass Houses,C,major,C major,1980,9,Billy Joel,1
0.347,0.228,-9.667,0.0296,0.901,0,0.38,0.184,133.574,562JrM9b7jiu8LgzV62x3o,4,221373,FALSE,The Rose,64,The Rose,C,major,C major,1980,10,Bette Midler,1
